Company,Contact_Email,Contact_Name,Phone,Website,Primary_Products,Target_Industries,Partnership_Priority,Logo_Available,Revenue_Estimate_M,Notes
Omega Engineering,partnerships@omega.com,Business Development Team,1-888-826-6342,omega.com,"Industrial temperature sensors, data loggers, wireless systems","Industrial manufacturing, HVAC, automotive, aerospace",High,Yes,500,"Major industrial supplier, strong powder coating presence"
Onset Computer Corporation,sales@onsetcomp.com,Partnership Manager,1-800-564-4377,onsetcomp.com,"HOBO data loggers, wireless sensors, environmental monitoring","Research, pharmaceuticals, food safety, environmental",High,Yes,150,"Academic/research focus, excellent for lab applications"
Lascar Electronics,info@lascarelectronics.com,Sales Director,+44-1794-884567,lascarelectronics.com,"USB data loggers, wireless monitoring, temperature/humidity sensors","Small manufacturing, healthcare, transport, warehousing",Medium,Yes,25,"Cost-effective solutions, good SMB market penetration"
Testo,info@testo.com,Partnership Development,+49-7653-681-0,testo.com,"Precision measuring instruments, data loggers, analysis software","Pharmaceuticals, food industry, HVAC, calibration labs",High,Yes,800,"Premium brand, strong in regulated industries"
Fluke Corporation,partnerships@fluke.com,Strategic Partnerships,1-800-443-5853,fluke-direct.com,"Professional test instruments, calibration equipment, data acquisition","Maintenance, calibration labs, industrial, utilities",High,Yes,1200,"Industry leader, excellent for calibration/maintenance markets"
Graphtec Corporation,sales@graphtecamerica.com,Business Development,1-800-327-7878,graphtec.com,"Data loggers, chart recorders, measuring instruments","Manufacturing, automotive, research, quality control",Medium,Yes,300,"Strong in automotive and manufacturing QC"
Dickson,sales@dicksondata.com,Partnership Team,1-630-543-3747,dicksondata.com,"Temperature/humidity monitoring, data loggers, wireless systems","Healthcare, pharmaceuticals, food safety, warehousing",Medium,Yes,50,"Healthcare/pharma focus, good cold chain expertise"
Extech Instruments,techsupport@extech.com,Sales Manager,1-781-890-7440,extech.com,"Portable test instruments, data loggers, environmental meters","HVAC, electrical, environmental, industrial",Medium,Yes,80,"Portable focus, good for field applications"
Supco,sales@supco.com,National Sales Manager,1-800-645-8989,supco.com,"HVAC instruments, data loggers, refrigeration tools","HVAC, refrigeration, appliance service, food service",Low,Yes,40,"HVAC/refrigeration specialized, niche applications"
PCE Instruments,info@pce-instruments.com,International Sales,+49-2903-976990,pce-instruments.com,"Test instruments, data loggers, industrial scales","Industrial, laboratory, quality control, research",Medium,Yes,60,"European focus, wide product range"
LogTag Recorders,sales@logtag.com,Business Development,+64-9-940-7337,logtag.com,"Single-use and reusable data loggers, cold chain monitoring","Pharmaceuticals, food transport, vaccine distribution, clinical trials",Medium,Yes,35,"Cold chain specialists, single-use focus"
Temptime Corporation,info@temptime.com,Strategic Partnerships,1-973-343-8201,temptime.com,"Temperature indicators, data loggers, monitoring solutions","Pharmaceuticals, biologics, food safety, clinical trials",Medium,Yes,45,"Temperature indicators, pharmaceutical focus"
Sensitech,info@sensitech.com,Partnership Manager,1-800-843-8367,sensitech.com,"Supply chain monitoring, data loggers, analytics software","Pharmaceuticals, food transport, cold chain logistics",High,Yes,200,"Fedex subsidiary, strong logistics presence"
Vaisala,sales@vaisala.com,Business Development,+358-9-8949-2000,vaisala.com,"Environmental sensors, data loggers, monitoring systems","Meteorology, life sciences, food industry, pharmaceuticals",High,Yes,400,"Premium sensors, meteorology/environmental focus"
Rotronic,sales@rotronic-usa.com,Sales Director,1-631-427-3898,rotronic.com,"Humidity/temperature sensors, data loggers, calibration equipment","Pharmaceuticals, museums, clean rooms, meteorology",Medium,Yes,80,"Precision humidity/temperature, clean room expertise"
Campbell Scientific,info@campbellsci.com,Partnership Development,1-435-227-9000,campbellsci.com,"Data loggers, sensors, weather stations, measurement systems","Environmental research, agriculture, meteorology, hydrology",Medium,Yes,120,"Research/environmental focus, custom solutions"
Davis Instruments,info@davisinstruments.com,Sales Team,1-800-678-3669,davisinstruments.com,"Weather monitoring, wireless sensors, marine instruments","Agriculture, marine, weather enthusiasts, research",Low,Yes,30,"Weather focus, consumer/prosumer market"
Madgetech,sales@madgetech.com,Inside Sales Manager,1-603-456-2011,madgetech.com,"Data loggers, wireless monitoring, validation systems","Pharmaceuticals, food processing, sterilization, research",Medium,Yes,25,"Validation focus, pharmaceutical/sterilization expertise"
Monarch Instrument,sales@monarchinstrument.com,Sales Department,1-603-883-3390,monarchinstrument.com,"Portable test instruments, data loggers, tachometers","Manufacturing, maintenance, quality control, research",Low,Yes,15,"Portable instruments, maintenance focus"
Kimo Instruments,info@kimo-instruments.com,International Sales,+33-1-30-25-83-20,kimo-instruments.com,"HVAC instruments, data loggers, air quality monitors","HVAC, building automation, clean rooms, laboratories",Medium,Yes,40,"HVAC/building automation, European base"
Dwyer Instruments,sales@dwyeronline.com,Sales Engineering,1-219-879-8000,dwyer-inst.com,"Pressure/temperature instruments, data loggers, HVAC sensors","HVAC, industrial processes, water treatment, laboratories",Medium,Yes,70,"Industrial process control, HVAC focus"
TSI Incorporated,tsi@tsi.com,Business Development,1-800-874-2811,tsi.com,"Airflow instruments, data loggers, particle counters","Clean rooms, HVAC, indoor air quality, research",Medium,Yes,180,"Clean room/air quality, high-end applications"
