Company,Contact_Email,Contact_Name,Phone,Website,Primary_Products,Target_Industries,Partnership_Priority,Notes
Rotronic USA,sales@rotronic-usa.com,Sales Team,,https://www.rotronic.com/en-us/,"Humidity/temp/CO2 loggers, RMS monitoring","Pharma, cleanrooms, HVAC",High,"PST brand; RMS monitoring platform"
Comet System (Global),info@cometsystem.com,Sales,,https://www.cometsystem.com/,"Temperature/humidity/CO2 sensors, GSM/WiFi loggers","Pharma, food, industrial",High,"ISO 17025 calibration; COMET Cloud"
Comet America,info@comet-america.com,Sales,,https://www.comet-america.com/,"Dataloggers & monitoring systems","Warehousing, pharma, food",High,"US office; calibration & support"
DeltaTrak (US),[email protected],Sales Team,,https://www.deltatrak.com/,"FlashTrak real-time loggers, PDF/USB loggers","Food, life sciences, logistics",High,"Large US footprint; FlashTrak cloud"
SpotSee / ShockWatch,orders@spotsee.io,Sales Team,,https://spotsee.io/,"WarmMark/ColdChain indicators, data loggers","Pharma, diagnostics, logistics",High,"Global distribution; indicators + data loggers"
ELPRO (Global),SWISS@ELPRO.COM,Sales,,https://www.elpro.com/en/,"LIBERO USB/real-time loggers, RMS monitoring","Pharma, biotech, hospitals",High,"ISO 17025 sensors; global support"
LogTag Recorders SA,sales@logtagrecorders.co.za,Sales Team,,https://logtagrecorders.co.za/,"USB/WiFi temperature loggers","Vaccines, transport, food",Medium,"Official distributor; strong SA network"
Elitech EU,sales@elitech.uk.com,Sales,,https://www.elitecheu.com/,"USB/BLE/4G data loggers","Food, pharma, HVAC",Medium,"EU/UK ecommerce; iCold cloud"
Nortech Labs (Cold Chain Packaging),sales@nortechlabs.com,Sales,,https://www.nortechlabsonline.com/,"Cold packs, insulated shippers","Cold chain packaging",Medium,"Packaging partner; US manufacturing"
Comet Africa,info@comet-africa.com,Sales,,https://www.comet-africa.com/,"IoT GSM loggers, warehouse monitoring","Warehousing, pharma, agriculture",Medium,"Africa distribution network"
Gemini Data Loggers SA (Tinytag),info@geminidataloggers.co.za,Sales Team,,https://www.geminidataloggers.co.za/,"Tinytag temp/RH loggers","Industrial, environmental",Medium,"SA distributor; Tinytag range"
Rotronic USA Store (PST),sales@rotronic-usa.com,Sales Team,,https://store.rotronic-usa.com/,"Humidity/CO2 data loggers & services","Pharma, labs, HVAC",High,"Ecommerce channel; PST group"
