Company,Contact_Name,Contact_Email,Phone,Initial_Contact_Date,Last_Contact_Date,Contact_Method,Template_Used,Response_Received,Response_Date,Response_Type,Meeting_Scheduled,Meeting_Date,Follow_up_Required,Follow_up_Date,Partnership_Status,Priority_Level,Revenue_Potential,Notes,Next_Action,Action_Due_Date,Campaign_Source,UTM_Parameters,Decision_Maker_Identified,Logo_Assets_Received,Technical_Contact_Identified,Sample_PDF_Sent,Contract_Stage,Expected_Close_Date,Actual_Close_Date,Revenue_Share_Agreed,Co_Marketing_Agreed,Resource_Page_Link_Agreed,Referral_Count,Revenue_Generated
Omega Engineering,Business Development Team,partnerships@omega.com,1-888-826-6342,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,High,$75000,"Major industrial supplier, strong powder coating presence",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Onset Computer Corporation,Partnership Manager,sales@onsetcomp.com,1-800-564-4377,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,High,$45000,"Academic/research focus, excellent for lab applications",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Lascar Electronics,Sales Director,info@lascarelectronics.com,+44-1794-884567,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,Medium,$15000,"Cost-effective solutions, good SMB market penetration",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Testo,Partnership Development,info@testo.com,+49-7653-681-0,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,High,$60000,"Premium brand, strong in regulated industries",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Fluke Corporation,Strategic Partnerships,partnerships@fluke.com,1-800-443-5853,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,High,$90000,"Industry leader, excellent for calibration/maintenance markets",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Graphtec Corporation,Business Development,sales@graphtecamerica.com,1-800-327-7878,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,Medium,$30000,"Strong in automotive and manufacturing QC",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Dickson,Partnership Team,sales@dicksondata.com,1-630-543-3747,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,Medium,$18000,"Healthcare/pharma focus, good cold chain expertise",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Extech Instruments,Sales Manager,techsupport@extech.com,1-781-890-7440,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,Medium,$12000,"Portable focus, good for field applications",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Supco,National Sales Manager,sales@supco.com,1-800-645-8989,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,Low,$8000,"HVAC/refrigeration specialized, niche applications",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
PCE Instruments,International Sales,info@pce-instruments.com,+49-2903-976990,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,Medium,$20000,"European focus, wide product range",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
LogTag Recorders,Business Development,sales@logtag.com,+64-9-940-7337,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,Medium,$15000,"Cold chain specialists, single-use focus",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Temptime Corporation,Strategic Partnerships,info@temptime.com,1-973-343-8201,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,Medium,$18000,"Temperature indicators, pharmaceutical focus",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Sensitech,Partnership Manager,info@sensitech.com,1-800-843-8367,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,High,$55000,"Fedex subsidiary, strong logistics presence",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Vaisala,Business Development,sales@vaisala.com,+358-9-8949-2000,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,High,$65000,"Premium sensors, meteorology/environmental focus",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Rotronic,Sales Director,sales@rotronic-usa.com,1-631-427-3898,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,Medium,$25000,"Precision humidity/temperature, clean room expertise",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Campbell Scientific,Partnership Development,info@campbellsci.com,1-435-227-9000,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,Medium,$28000,"Research/environmental focus, custom solutions",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Davis Instruments,Sales Team,info@davisinstruments.com,1-800-678-3669,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,Low,$8000,"Weather focus, consumer/prosumer market",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Madgetech,Inside Sales Manager,sales@madgetech.com,1-603-456-2011,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,Medium,$22000,"Validation focus, pharmaceutical/sterilization expertise",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Monarch Instrument,Sales Department,sales@monarchinstrument.com,1-603-883-3390,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,Low,$6000,"Portable instruments, maintenance focus",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
Kimo Instruments,International Sales,info@kimo-instruments.com,+33-1-30-25-83-20,,,Email,Template A - Initial Partnership,No,,,No,,Yes,,Prospect,Medium,$18000,"HVAC/building automation, European base",Send initial email,,Days 15-21 Sprint,utm_source=email&utm_medium=partnership&utm_campaign=vendor_outreach,No,No,No,No,Not Started,,,No,No,No,0,0
