Company,Contact_Email,Contact_Name,Phone,Website,Primary_Products,Target_Industries,Partnership_Priority,Personal_Note
Helmer Scientific,customerservice@helmerinc.com,Customer Service,+1 800-743-5637,https://www.helmerinc.com,"Biomedical refrigerators, freezers","Healthcare, labs",High,"Partner idea—simple Helmer‑branded certificate attached to shipments for inspections; ready next week."
ARCTIKO,info@arctiko.com,Team,+45 70 20 19 70,https://www.arctiko.com,"Ultra‑low freezers, cold storage","Healthcare, pharma",High,"Happy to send an ARCTIKO‑branded sample that matches exported data—no code changes on your side."
So‑Low Environmental Equipment,sales@so-low.com,Sales,+1 513-772-9410,https://www.so-low.com,"Freezers, refrigerators","Healthcare, labs",Medium,"Quick partner sample showing inspector‑ready certificate from log exports; can share Monday."
Dickson Data,customerservice@dicksondata.com,Customer Service,+1 630-543-3747,https://www.dicksondata.com,"Data loggers, monitoring","Healthcare, pharma",High,"We can generate tamper‑evident certificates from Dickson exports; will send a branded sample."
Vaisala,info@vaisala.com,Team,+1 888-861-7373,https://www.vaisala.com,"Monitoring, data loggers","Life sciences, cold chain",High,"Idea for your customers—auto‑generate inspector‑ready PDFs from Vaisala data; sample ready next week."
Testo,info@testo.com,Team,+1 800-227-0729,https://www.testo.com,"Monitoring instruments","Food, pharma, labs",Medium,"Small partner pilot—Testo‑branded certificate artifact alongside exports (no pricing/code changes)."
ELPRO,info@elpro.com,Team,+41 61 785 77 00,https://www.elpro.com,"Pharma cold chain monitoring","Pharma, CGT",High,"Offer to co‑brand 1–2 templates for ELPRO users; can send a sample early next week."
Berlinger,info@berlinger.com,Team,+41 71 982 88 11,https://www.berlinger.com,"Temperature monitoring","Vaccines, pharma",High,"We’ll share a Berlinger‑branded certificate sample that rides with shipments for audits."
LogTag Recorders,info@logtagrecorders.com,Team,+64 9 448 2099,https://www.logtagrecorders.com,"Data loggers","Food, pharma",Medium,"Partner idea—auto‑create inspector‑ready PDFs from LogTag files; happy to send a sample."
E‑Control Systems,info@econtrolsystems.com,Team,+1 888-384-3274,https://www.econtrolsystems.com,"Wireless monitoring","Healthcare, food",Medium,"We can attach a co‑branded certificate to E‑Control exports; sample available Monday."
Monnit,sales@monnit.com,Sales,+1 801-561-5555,https://www.monnit.com,"Wireless sensors","Food, healthcare",Medium,"Short pilot—Monnit‑branded certificate preview from logs; no engineering required."
DeltaTrak,salesinfo@deltatrak.com,Sales,+1 800-962-6776,https://www.deltatrak.com,"Cold chain solutions","Food, pharma",High,"Can share a DeltaTrak‑branded certificate sample aligned to typical export formats next week."
Caron Products,sales@caronproducts.com,Sales,+1 740-373-6809,https://www.caronproducts.com,"Climate chambers","Pharma, biotech",Medium,"Offer to co‑brand 1–2 certificate templates for chamber runs; quick sample available."
Tuttnauer USA,info@tuttnauerusa.com,Team,+1 508-763-2000,https://www.tuttnauer.com,"Sterilizers","Healthcare, labs",Medium,"For customers needing post‑cycle artifacts—happy to send a Tuttnauer‑branded sample PDF." 
Belimed Life Science,info@belimed-lifescience.com,Team,+41 71 844 21 31,https://www.belimed-lifescience.com,"Life science sterilization","Pharma",Medium,"We can deliver co‑branded, tamper‑evident certificates for validations; sample ready to review."
Steelco,info@steelcogroup.com,Team,+39 0423 769500,https://www.steelcogroup.com,"Washer‑disinfectors, sterilizers","Healthcare, pharma",Medium,"Simple partner pilot—Steelco‑branded certificate preview attached to cycle exports."
Getinge,info@getinge.com,Team,+46 10 335 00 00,https://www.getinge.com,"Sterilization, washer‑disinfectors","Healthcare, pharma",Medium,"If customers ask for inspector‑ready certificates, we can supply a co‑branded sample to review."
